@ HyperIMU - ianovir - 2017
@ Date: Tue Jul 25 11:26:18 GMT+02:00 2017, Sampling Time: 20ms

timestamp,MPL_Linear_Acceleration.x,MPL_Linear_Acceleration.y,MPL_Linear_Acceleration.z,MPL_Gravity.x,MPL_Gravity.y,MPL_Gravity.z
1500974780167,5.2934303,-12.612056,-0.9552865,-2.6981156,9.364471,1.0931027
1500974780189,5.2934303,-12.612056,-0.9552865,-2.6981156,9.364471,1.0931027
1500974780211,5.2934303,-12.612056,-0.9552865,-2.6981156,9.364471,1.0931027
1500974780233,-0.7679402,-10.854563,2.137274,3.4368765,8.974665,-1.9527707
1500974780256,-0.7679402,-10.854563,2.137274,3.4368765,8.974665,-1.9527707
1500974780278,-4.350863,-8.520664,0.10295067,6.39611,7.429657,0.24196401
1500974780301,-4.350863,-8.520664,0.10295067,6.39611,7.429657,0.24196401
1500974780325,-4.350863,-8.520664,0.10295067,6.39611,7.429657,0.24196401
1500974780347,-5.446659,-3.031209,-6.604854,6.192453,2.2269068,7.270592
1500974780370,-5.446659,-3.031209,-6.604854,6.192453,2.2269068,7.270592
1500974780392,-23.035662,20.516064,-8.970924,3.3565211,-0.95109665,9.165004
1500974780416,-23.035662,20.516064,-8.970924,3.3565211,-0.95109665,9.165004
1500974780438,-23.035662,20.516064,-8.970924,3.3565211,-0.95109665,9.165004
1500974780465,-3.2070332,2.255787,-0.021996727,6.482301,-2.1490953,7.037756
1500974780488,-3.2070332,2.255787,-0.021996727,6.482301,-2.1490953,7.037756
1500974780511,-3.2070332,2.255787,-0.021996727,6.482301,-2.1490953,7.037756
1500974780534,1.0515034,1.8227357,-1.5771804,8.286482,-2.6372132,4.532972
1500974780558,1.0515034,1.8227357,-1.5771804,8.286482,-2.6372132,4.532972
1500974780581,9.445575,2.1820157,0.556203,9.526079,0.38172552,2.2972364
1500974780604,9.445575,2.1820157,0.556203,9.526079,0.38172552,2.2972364
1500974780627,9.445575,2.1820157,0.556203,9.526079,0.38172552,2.2972364
1500974780649,-2.4652796,1.8314147,-1.816451,9.138518,-0.098461546,3.555988
1500974780672,-2.4652796,1.8314147,-1.816451,9.138518,-0.098461546,3.555988
1500974780695,-2.4652796,1.8314147,-1.816451,9.138518,-0.098461546,3.555988
1500974780717,0.8740333,0.49559975,-4.7131357,5.2611084,0.38621467,8.266879
1500974780740,0.8740333,0.49559975,-4.7131357,5.2611084,0.38621467,8.266879
1500974780762,6.190508,-0.07676409,4.685602,-1.2189479,0.14873978,9.729437
1500974780785,6.190508,-0.07676409,4.685602,-1.2189479,0.14873978,9.729437
1500974780808,6.190508,-0.07676409,4.685602,-1.2189479,0.14873978,9.729437
1500974780830,-2.6611552,-0.33758244,4.84347,1.1899183,0.27548283,9.7301855
1500974780853,-2.6611552,-0.33758244,4.84347,1.1899183,0.27548283,9.7301855
1500974780875,-2.6611552,-0.33758244,4.84347,1.1899183,0.27548283,9.7301855
1500974780897,-1.0808325,-0.28146833,-0.50622404,0.17761984,0.2475006,9.801862
1500974780920,-1.0808325,-0.28146833,-0.50622404,0.17761984,0.2475006,9.801862
1500974780942,-0.87807345,-0.049530048,-2.4323592,0.1448492,0.29029694,9.801263
1500974780964,-0.87807345,-0.049530048,-2.4323592,0.1448492,0.29029694,9.801263
1500974780986,-0.87807345,-0.049530048,-2.4323592,0.1448492,0.29029694,9.801263
1500974781009,-0.50607437,-0.08304887,-0.80355394,0.03441665,0.30526072,9.801712
1500974781032,-0.50607437,-0.08304887,-0.80355394,0.03441665,0.30526072,9.801712
1500974781056,-0.2275988,0.082300685,-0.35419223,-0.079457566,0.29493573,9.801862
1500974781084,-0.2275988,0.082300685,-0.35419223,-0.079457566,0.29493573,9.801862
1500974781106,-0.2275988,0.082300685,-0.35419223,-0.079457566,0.29493573,9.801862
1500974781130,-0.09711481,-0.014963761,0.26321256,-0.1213561,0.30900165,9.800964
1500974781153,-0.09711481,-0.014963761,0.26321256,-0.1213561,0.30900165,9.800964
1500974781175,-0.13377602,0.022146367,0.064493805,-0.16729484,0.30660746,9.800365
1500974781196,-0.13377602,0.022146367,0.064493805,-0.16729484,0.30660746,9.800365
1500974781219,-0.08693945,0.005686229,0.0700304,-0.1949778,0.31468788,9.799617
1500974781242,-0.08693945,0.005686229,0.0700304,-0.1949778,0.31468788,9.799617
1500974781265,0.034566287,-0.012120646,0.013317747,-0.20395605,0.31334114,9.799467
1500974781286,0.034566287,-0.012120646,0.013317747,-0.20395605,0.31334114,9.799467
1500974781309,-0.14036007,0.087687634,-0.1683423,-0.20739773,0.30151978,9.799767
1500974781333,-0.14036007,0.087687634,-0.1683423,-0.20739773,0.30151978,9.799767
1500974781355,-0.017657237,-0.016609775,-0.008678981,-0.20859483,0.29328972,9.799916
1500974781376,-0.017657237,-0.016609775,-0.008678981,-0.20859483,0.29328972,9.799916
1500974781399,-0.092176765,0.03187281,0.07466917,-0.20051439,0.28790274,9.800365
1500974781422,-0.092176765,0.03187281,0.07466917,-0.20051439,0.28790274,9.800365
1500974781445,-0.092176765,0.03187281,0.07466917,-0.20051439,0.28790274,9.800365
1500974781466,-0.30690673,-1.3744214,5.8276367,-0.25692776,0.12659341,9.802461
1500974781488,-0.30690673,-1.3744214,5.8276367,-0.25692776,0.12659341,9.802461
1500974781514,-0.009277532,-0.102651395,1.1899183,-0.23373394,0.15248072,9.80261
1500974781536,-0.009277532,-0.102651395,1.1899183,-0.23373394,0.15248072,9.80261
1500974781558,-0.22415714,0.037409402,0.11162966,-0.22834699,0.2793734,9.799916
1500974781580,-0.22415714,0.037409402,0.11162966,-0.22834699,0.2793734,9.799916
1500974781602,-0.06120178,-0.110133275,-0.13078327,-0.26560676,0.3084031,9.7981205
1500974781624,-0.06120178,-0.110133275,-0.13078327,-0.26560676,0.3084031,9.7981205
1500974781646,-0.06120178,-0.110133275,-0.13078327,-0.26560676,0.3084031,9.7981205
