@ HyperIMU - ianovir - 2017
@ Date: Sat Nov 11 15:39:03 GMT+01:00 2017, Sampling Time: 50ms

timestamp,MPL_Gyroscope.x,MPL_Gyroscope.y,MPL_Gyroscope.z,MPL_Accelerometer.x,MPL_Accelerometer.y,MPL_Accelerometer.z,MPL_Magnetic_Field.x,MPL_Magnetic_Field.y,MPL_Magnetic_Field.z,MPL_Orientation.x,MPL_Orientation.y,MPL_Orientation.z,MPL_Linear_Acceleration.x,MPL_Linear_Acceleration.y,MPL_Linear_Acceleration.z
1510411145244,-5.6647096,-0.8826715,6.8174424,-1.9623476,-19.639786,-14.705786,-778.261,-609.145,-956.072,166.918,67.573326,20.03209,-7.8607626,-10.494834,13.34124
1510411145297,5.2894044,0.72907364,0.7337174,-3.681983,-11.9538,-3.5045128,-774.363,-610.045,-955.922,117.371506,100.79982,10.632172,-0.648679,-3.9453452,2.591424
1510411145349,1.5801533,-2.0970728,0.2745884,-7.0111203,-6.495619,-5.645528,-772.414,-611.244,-963.718,41.2558,102.890274,2.4686432,-4.470274,3.5606267,-4.8014216
1510411145402,0.8078366,0.18365824,-0.7459349,-4.2428246,-9.146599,-3.779846,-774.513,-611.544,-966.267,138.54997,105.902306,-9.204361,-1.4318823,-0.22251113,-0.49634793
1510411145454,-0.87634647,-1.456849,-0.39652818,-4.308067,-9.537452,-3.506907,-775.862,-610.645,-966.417,119.88641,109.37785,-11.276306,-1.2373533,-0.11133038,-2.0911856
1510411145507,0.31035814,0.7173557,-0.11636363,-2.3915083,-5.222502,-0.8098387,-775.712,-610.645,-965.667,133.13954,108.86575,-16.040146,0.6605004,4.185065,1.835006
1510411145561,2.6113293,-0.8272777,-2.4556844,-3.0702643,-8.071004,-1.2294226,-777.811,-611.094,-969.565,86.15485,115.02845,-19.441223,0.511611,1.8276737,-0.7627029
1510411145613,3.3421006,-0.33725607,-3.2258706,-0.3402759,-9.186103,0.2801216,-785.757,-613.493,-978.261,111.40314,111.90929,-17.39244,1.0254666,0.5246295,0.50727147
1510411145666,5.405518,0.6193514,-4.187804,3.668815,-8.722825,5.2181625,-793.553,-619.34,-986.207,121.0679,103.53709,-12.083237,2.590975,1.3019968,3.6640265
1510411145718,7.1706614,5.711315,-2.0093386,3.8759134,-9.336938,8.076839,-792.204,-633.583,-999.4,140.24767,83.82464,-1.728302,2.205808,-1.9331683,1.7351977
1510411145771,3.166332,1.3245565,-1.5107948,0.08888474,-5.1500773,7.578247,-787.106,-648.126,-1004.348,148.91972,71.40668,3.3710632,-0.7460931,0.21458033,0.6133646
1510411145824,-0.2755373,-0.5449826,0.09455873,0.4611831,-5.5654716,9.621698,-783.208,-650.075,-1005.097,148.30237,62.79131,1.342102,-1.168969,-0.35119945,0.27129298
1510411145876,2.4749753,-0.21688119,1.0991031,-0.8825626,-5.518186,13.997701,-785.007,-651.874,-1005.697,149.88876,51.324238,3.971878,-1.3807062,-0.37663785,5.073912
1510411145929,3.1397004,-0.03152517,2.4221616,-0.15292963,-3.264045,9.036914,-784.858,-660.57,-1005.097,146.54028,41.77182,1.8224281,-1.3998598,-0.24540567,-0.6820482
1510411145981,0.77587867,-0.61848587,0.5089466,1.5786767,1.1149498,7.07726,-786.207,-666.867,-1004.648,181.93608,30.949287,5.4925003,-1.0185832,3.738097,-1.9476831
1510411146034,-1.2427974,-0.99772,-0.58934104,1.3590088,-1.908927,11.992557,-786.207,-665.667,-1004.648,145.2759,23.010357,6.345971,-0.2947861,-0.34491467,2.1257517
1510411146087,-1.2427974,-0.99772,-0.58934104,1.3590088,-1.908927,11.992557,-786.207,-665.667,-1004.648,145.2759,23.010357,6.345971,-0.2947861,-0.34491467,2.1257517
1510411146141,-1.5176356,-0.65470487,2.2048476,0.8801684,-3.2197523,10.22384,-787.706,-663.568,-1005.847,133.5389,20.947584,1.0534556,-0.25737667,-1.261894,0.68219787
1510411146194,-2.3123229,2.4888904,5.309028,0.49410337,-4.015226,9.7803135,-784.708,-653.823,-1005.547,138.29863,20.23526,1.061659,0.92610717,0.11791443,1.0372878
1510411146247,1.40545,0.65663564,6.3412695,-3.6867714,-6.0125885,8.996213,-779.76,-652.924,-1005.547,137.62408,22.596651,-2.5064275,-0.973243,-2.570774,0.45819035
1510411146305,3.4305177,1.1317436,8.292833,-4.085406,-6.7009215,8.780136,-779.46,-660.57,-1005.097,135.16792,24.182432,-7.3130026,0.045489833,-4.8047137,-0.2801216
1510411146358,2.2448783,-1.7338177,6.22409,-5.330391,4.5937247,4.832696,-784.558,-674.813,-1001.199,110.09682,21.613926,-20.423641,-2.181417,0.20605098,-3.5854666
1510411146412,2.2448783,-1.7338177,6.22409,-5.330391,4.5937247,4.832696,-784.558,-674.813,-1001.199,110.09682,21.613926,-20.423641,-2.181417,0.20605098,-3.5854666
1510411146465,-2.8705215,-8.056163,1.264219,1.4547768,7.7834,10.5841675,-802.549,-671.964,-1000.0,32.99759,-3.1157055,-16.916687,4.1099467,2.7118824,2.6218004
1510411146518,-1.4526545,-1.0818759,0.9638145,0.81552494,3.0273185,10.277709,-813.043,-666.117,-996.102,102.709076,-11.039919,-11.980419,-1.9384055,-0.8456021,1.0461165
1510411146571,0.25496438,2.6231139,1.1001683,3.371934,1.9930233,11.770494,-814.393,-662.669,-996.852,128.84242,-10.9510145,-5.195592,1.4809633,-0.5065233,2.342427
1510411146624,1.6440692,3.3304493,1.8927251,-1.2901754,0.9144354,7.8996687,-805.397,-663.268,-1002.099,122.813446,-10.098067,-5.53337,-3.0216322,-1.9424458,-1.0800842
1510411146676,1.6440692,3.3304493,1.8927251,-1.2901754,0.9144354,7.8996687,-805.397,-663.268,-1002.099,122.813446,-10.098067,-5.53337,-3.0216322,-1.9424458,-1.0800842
1510411146739,1.3425994,0.7631621,0.538774,-2.0676925,2.2551885,9.142858,-13.192993,-9.144989,-45.576996,100.584595,-12.271452,-1.8565872,-1.4413095,-0.7233482,0.074818805
1510411146792,0.23259383,3.4849126,0.373658,-1.0322002,3.8449383,7.876325,-3.7479858,-11.243988,-46.627,33.401825,-15.765097,-2.408277,1.5318402,0.13961188,-0.48766896
1510411146845,-0.15835822,-1.0669622,0.072188176,-1.9066824,4.530877,8.658031,-4.197998,-11.694,-46.776993,58.60208,-18.210972,-6.577491,0.61381346,0.45534724,0.03935469
1510411146898,-0.31175628,-0.2669486,0.10627664,-1.3548189,4.393809,8.974665,-4.047989,-11.843994,-46.627,58.93567,-20.522043,-9.120474,0.68863225,0.2287959,-0.005087679
1510411146951,-0.31175628,-0.2669486,0.10627664,-1.3548189,4.393809,8.974665,-4.047989,-11.843994,-46.627,58.93567,-20.522043,-9.120474,0.68863225,0.2287959,-0.005087679
1510411147004,0.5148889,0.030260168,-0.4945325,-3.7077205,4.1172786,9.3260145,-3.597992,-11.993988,-46.926987,66.9837,-20.775234,-9.747514,-1.397316,0.15577275,0.7079355
1510411147056,-2.2420154,-1.2800151,0.7070858,0.519841,3.7180457,12.80479,-6.746994,-10.644989,-46.926987,53.213837,-24.833258,-17.836163,3.295469,-0.46447513,1.7295115
1510411147108,0.986801,0.007889614,-0.058839347,-2.4974515,5.098303,5.697003,-6.296997,-13.042999,-46.176987,63.551575,-23.669636,-15.463125,-0.10818799,1.0589854,-2.5860372
