@ HyperIMU - ianovir - 2017
@ Date: Tue Jul 25 15:39:56 GMT+02:00 2017, Sampling Time: 20ms

timestamp,MPL_Gyroscope.x,MPL_Gyroscope.y,MPL_Gyroscope.z,MPL_Accelerometer.x,MPL_Accelerometer.y,MPL_Accelerometer.z,MPL_Rotation_Vector.x,MPL_Rotation_Vector.y,MPL_Rotation_Vector.z,MPL_Linear_Acceleration.x,MPL_Linear_Acceleration.y,MPL_Linear_Acceleration.z,MPL_Gravity.x,MPL_Gravity.y,MPL_Gravity.z
1500989997165,8.9881686E-4,0.00218033,-7.656588E-4,0.11881226,0.0712275,9.875633,0.0021380447,-0.0053350814,-0.020618128,0.007930793,0.03441665,0.08888474,0.103698865,0.043993454,9.805902
1500989997189,0.0019640813,4.980111E-5,2.9960563E-4,0.11941081,0.092775315,9.875633,0.002207812,-0.005375663,-0.022955636,1.496376E-4,0.046537295,0.017058687,0.104297414,0.04563947,9.805902
1500989997214,-1.6644757E-4,4.980111E-5,0.00136487,0.103249945,0.08259996,9.866056,0.0023022601,-0.0053997682,-0.025366554,0.019003976,0.018704701,0.045789108,0.10459669,0.047734395,9.805902
1500989997237,-1.6644757E-4,4.980111E-5,0.00136487,0.103249945,0.08259996,9.866056,0.0023022601,-0.0053997682,-0.025366554,0.019003976,0.018704701,0.045789108,0.10459669,0.047734395,9.805902
1500989997263,-9.986854E-5,-0.002130529,2.828277E-4,0.09726445,0.08738836,9.931897,0.0024120677,-0.005437934,-0.030093981,0.006584055,0.017208325,0.11462241,0.1050456,0.050427873,9.805902
1500989997287,-9.986854E-5,-0.002130529,2.828277E-4,0.09726445,0.08738836,9.931897,0.0024120677,-0.005437934,-0.030093981,0.006584055,0.017208325,0.11462241,0.1050456,0.050427873,9.805902
1500989997310,-9.986854E-5,-0.002130529,2.828277E-4,0.09726445,0.08738836,9.931897,0.0024120677,-0.005437934,-0.030093981,0.006584055,0.017208325,0.11462241,0.1050456,0.050427873,9.805902
1500989997337,-9.986854E-5,0.002130529,-7.8243675E-4,0.10803835,0.074220255,9.93489,0.0025365222,-0.0054768417,-0.034607578,-0.0028431145,0.026785132,0.08948329,0.105494514,0.053420626,9.805902
1500989997361,-9.986854E-5,0.002130529,-7.8243675E-4,0.10803835,0.074220255,9.93489,0.0025365222,-0.0054768417,-0.034607578,-0.0028431145,0.026785132,0.08948329,0.105494514,0.053420626,9.805902
1500989997384,-9.986854E-5,0.002130529,-7.8243675E-4,0.10803835,0.074220255,9.93489,0.0025365222,-0.0054768417,-0.034607578,-0.0028431145,0.026785132,0.08948329,0.105494514,0.053420626,9.805902
1500989997407,0.0020306604,0.002130529,0.0013480921,0.11522096,0.0688333,9.888802,0.0026466772,-0.005518916,-0.038809303,-0.004638766,0.026635494,0.11043255,0.106093064,0.055964466,9.805902
1500989997431,0.0020306604,0.002130529,0.0013480921,0.11522096,0.0688333,9.888802,0.0026466772,-0.005518916,-0.038809303,-0.004638766,0.026635494,0.11043255,0.106093064,0.055964466,9.805902
1500989997457,0.0020306604,0.002130529,0.0013480921,0.11522096,0.0688333,9.888802,0.0026466772,-0.005518916,-0.038809303,-0.004638766,0.026635494,0.11043255,0.106093064,0.055964466,9.805902
1500989997482,0.0030959249,0.0,-7.8243675E-4,0.09307459,0.06943185,9.875633,0.0027138777,-0.0055329073,-0.040968563,5.985504E-4,0.010025719,0.07032967,0.1062427,0.05761048,9.805902
1500989997506,0.0030959249,0.0,-7.8243675E-4,0.09307459,0.06943185,9.875633,0.0027138777,-0.0055329073,-0.040968563,5.985504E-4,0.010025719,0.07032967,0.1062427,0.05761048,9.805902
1500989997529,0.0030959249,0.0,-7.8243675E-4,0.09307459,0.06943185,9.875633,0.0027138777,-0.0055329073,-0.040968563,5.985504E-4,0.010025719,0.07032967,0.1062427,0.05761048,9.805902
1500989997555,5.824333E-4,0.0012815131,0.0014479606,0.11043255,0.090979666,9.852289,0.0028036404,-0.005562735,-0.044849355,0.0034416649,0.034865562,0.096815534,0.10639234,0.059705406,9.805753
1500989997579,5.824333E-4,0.0012815131,0.0014479606,0.11043255,0.090979666,9.852289,0.0028036404,-0.005562735,-0.044849355,0.0034416649,0.034865562,0.096815534,0.10639234,0.059705406,9.805753
1500989997604,5.824333E-4,0.0012815131,0.0014479606,0.11043255,0.090979666,9.852289,0.0028036404,-0.005562735,-0.044849355,0.0034416649,0.034865562,0.096815534,0.10639234,0.059705406,9.805753
1500989997629,-0.00261336,0.0023467776,0.0014479606,0.100257196,0.10055647,9.88102,0.0028953757,-0.0056024417,-0.048722114,0.008379706,0.016460137,0.042347442,0.10684125,0.06194997,9.805753
1500989997655,-0.00261336,0.0023467776,0.0014479606,0.100257196,0.10055647,9.88102,0.0028953757,-0.0056024417,-0.048722114,0.008379706,0.016460137,0.042347442,0.10684125,0.06194997,9.805753
1500989997683,-0.00261336,0.0023467776,0.0014479606,0.100257196,0.10055647,9.88102,0.0028953757,-0.0056024417,-0.048722114,0.008379706,0.016460137,0.042347442,0.10684125,0.06194997,9.805753
1500989997707,0.0016476978,0.0012815131,-6.825682E-4,0.117615156,0.0676362,9.878626,0.0029903827,-0.005659151,-0.052403476,0.014664485,0.009277532,0.030376434,0.107739076,0.06434417,9.805753
1500989997730,0.0016476978,0.0012815131,-6.825682E-4,0.117615156,0.0676362,9.878626,0.0029903827,-0.005659151,-0.052403476,0.014664485,0.009277532,0.030376434,0.107739076,0.06434417,9.805753
1500989997754,0.0016476978,-8.490158E-4,3.8269625E-4,0.098461546,0.09995792,9.891195,0.0030330243,-0.0056871446,-0.054225948,0.008379706,0.015412673,0.080056116,0.10803835,0.06539164,9.805753
1500989997778,0.0016476978,-8.490158E-4,3.8269625E-4,0.098461546,0.09995792,9.891195,0.0030330243,-0.0056871446,-0.054225948,0.008379706,0.015412673,0.080056116,0.10803835,0.06539164,9.805753
1500989997800,0.0016476978,-8.490158E-4,3.8269625E-4,0.098461546,0.09995792,9.891195,0.0030330243,-0.0056871446,-0.054225948,0.008379706,0.015412673,0.080056116,0.10803835,0.06539164,9.805753
1500989997823,0.0016476978,-8.490158E-4,-6.825682E-4,0.11402386,0.089184016,9.86845,0.0030846298,-0.005742655,-0.057575185,0.0068833297,0.019452889,0.014215573,0.108936176,0.066738375,9.805753
1500989997846,0.0016476978,-8.490158E-4,-6.825682E-4,0.11402386,0.089184016,9.86845,0.0030846298,-0.005742655,-0.057575185,0.0068833297,0.019452889,0.014215573,0.108936176,0.066738375,9.805753
1500989997868,0.0016476978,-8.490158E-4,-6.825682E-4,0.11402386,0.089184016,9.86845,0.0030846298,-0.005742655,-0.057575185,0.0068833297,0.019452889,0.014215573,0.108936176,0.066738375,9.805753
1500989997891,5.326322E-4,-0.0018309233,4.3276369E-4,0.11342531,0.08678981,9.866654,0.0031235106,-0.0057586087,-0.05922175,0.0073322426,0.030376434,0.09023148,0.10908581,0.06778584,9.805753
1500989997913,5.326322E-4,-0.0018309233,4.3276369E-4,0.11342531,0.08678981,9.866654,0.0031235106,-0.0057586087,-0.05922175,0.0073322426,0.030376434,0.09023148,0.10908581,0.06778584,9.805753
